Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
10000 6.0171600e+06 2.0000000e+00 4.5536212e+05 1.2394655e+12 5.5617980e+06 6.4539869e+05 9.0000000e+01 4.2602550e+05 6.4821714e+09 2.1937319e+05 9.9972740e+01 6.4980374e-03 1.6947784e-03 5.6523341e-04 6.9364356e-03 1.5676924e-03 6.3919427e-04 7.0063644e-03 1.8232047e-03 5.2539655e-04
10001 6.0147485e+06 2.0000000e+00 4.5721831e+05 1.2386062e+12 5.5575300e+06 6.4769294e+05 1.8000000e+02 4.2817906e+05 6.5024333e+09 2.1951388e+05 9.9959541e+01 1.0337723e-02 2.8670051e-03 5.6789198e-04 1.0121794e-02 3.2468683e-03 7.8897958e-04 8.9728627e-03 2.9323113e-03 5.0590740e-04
10003 5.9213510e+06 2.0000000e+00 4.6007688e+05 1.2291854e+12 5.4612740e+06 6.5181012e+05 9.0000000e+01 4.2729138e+05 6.6499661e+09 2.2451875e+05 9.9932579e+01 6.5634050e-03 2.3591390e-03 3.1688595e-03 7.7314274e-03 9.8126261e-03 2.8560730e-02 6.1401357e-03 1.5956449e-03 1.3193771e-03
10009 6.0066270e+06 2.0000000e+00 4.5444822e+05 1.2359273e+12 5.5521790e+06 6.4618619e+05 1.8000000e+02 4.2693759e+05 6.4879549e+09 2.1924859e+05 9.9973915e+01 6.5805181e-03 2.0067000e-03 3.9814299e-04 6.8536955e-03 1.4241744e-03 2.8130275e-04 6.5992600e-03 1.5962535e-03 4.0584724e-04
1000 6.0072960e+06 2.0000000e+00 4.5672284e+05 1.2373046e+12 5.5505730e+06 6.4700600e+05 9.0000000e+01 4.2751644e+05 6.4960389e+09 2.1948956e+05 9.9964775e+01 8.9679202e-03 2.3465832e-03 6.8239070e-04 8.8796942e-03 1.7116453e-03 9.5757999e-04 8.8850409e-03 2.1848376e-03 6.3443434e-04
10010 6.0192630e+06 2.0000000e+00 4.5703709e+05 1.2407781e+12 5.5622260e+06 6.4789294e+05 1.8000000e+02 4.2815241e+05 6.5096269e+09 2.1974053e+05 9.9964394e+01 8.3676791e-03 2.6091968e-03 5.2606215e-04 8.8899462e-03 2.2561310e-03 4.6227669e-04 9.2203636e-03 2.7444295e-03 4.7410099e-04
10012 6.0192700e+06 2.0000000e+00 4.5572391e+05 1.2415566e+12 5.5635460e+06 6.4764356e+05 1.8000000e+02 4.2775084e+05 6.5113964e+09 2.1989272e+05 9.9973473e+01 6.8549863e-03 1.7691092e-03 5.5000221e-04 6.6922279e-03 2.0399233e-03 5.0998077e-04 5.9878533e-03 1.5029698e-03 5.6617736e-04
10013 5.9724325e+06 2.0000000e+00 4.5939481e+05 1.2246191e+12 5.5130375e+06 6.4899894e+05 9.0000000e+01 4.2681981e+05 6.5413253e+09 2.2217912e+05 9.9954651e+01 6.1777439e-03 2.4948872e-03 4.7053094e-03 6.4088884e-03 4.9622236e-03 1.1605889e-02 5.8740298e-03 1.5098334e-03 1.5334310e-03
10016 6.0077220e+06 2.0000000e+00 4.5952181e+05 1.2408649e+12 5.5482000e+06 6.4999475e+05 1.8000000e+02 4.2939772e+05 6.5440922e+09 2.2059703e+05 9.9963173e+01 7.0755710e-03 4.0133824e-03 2.6687332e-03 7.3407944e-03 2.4617983e-03 2.1510285e-03 6.9960007e-03 2.3736132e-03 1.6225657e-03
1001 6.0161075e+06 2.0000000e+00 4.5991628e+05 1.2404113e+12 5.5561910e+06 6.4912969e+05 1.8000000e+02 4.2892103e+05 6.5240550e+09 2.2020866e+05 9.9943542e+01 1.5481941e-02 2.6002165e-03 8.3003193e-04 1.3607431e-02 3.9821630e-03 7.9196732e-04 1.4208335e-02 3.8399121e-03 9.0181647e-04
