Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
10000 1.2977100e+05 1.0000000e+00 1.8543959e+04 8.7100237e+08 1.1122704e+05 1.3097610e+05 9.5000000e+01 1.3066102e+05 2.6550025e+04 3.1507812e+02 9.9973152e+01 6.7612529e-03 1.8597649e-03 4.8792266e-04 6.3296440e-03 1.3916864e-03 8.7165134e-04 6.4876950e-03 1.8901610e-03 6.6345849e-04
10001 1.3067800e+05 1.0000000e+00 2.0225301e+04 8.5616218e+08 1.1045270e+05 1.3215845e+05 9.5000000e+01 1.3165300e+05 4.0949141e+04 5.0545312e+02 9.9959671e+01 1.0543495e-02 2.6291294e-03 3.6563902e-04 1.0663364e-02 2.6920692e-03 4.9525843e-04 9.1648586e-03 3.1506114e-03 5.7917641e-04
10003 1.2917000e+05 1.0000000e+00 2.9018535e+04 1.2693341e+09 1.0015147e+05 1.3391867e+05 9.1000000e+01 1.3157614e+05 1.1460839e+06 2.3425312e+03 9.9928703e+01 6.0773273e-03 2.3054271e-03 3.7692252e-03 8.3268406e-03 9.8691508e-03 3.0547215e-02 6.9844937e-03 1.4856224e-03 1.9307720e-03
10009 1.3034400e+05 1.0000000e+00 1.8028146e+04 8.8901434e+08 1.1231585e+05 1.3145930e+05 1.0300000e+02 1.3118541e+05 1.3501062e+04 2.7389062e+02 9.9973656e+01 6.6131111e-03 1.8009064e-03 4.3892273e-04 6.2816972e-03 1.5689204e-03 1.9451468e-04 7.2337431e-03 1.5809723e-03 5.5681058e-04
1000 1.30394000e+05 1.00000000e+00 1.97858789e+04 8.63994816e+08 1.10608125e+05 1.31731797e+05 8.00000000e+01 1.31342781e+05 3.02834355e+04 3.89015625e+02 9.99640427e+01 1.04514649e-02 1.87536748e-03 8.00918264e-04 8.28410313e-03 1.72786345e-03 1.55985670e-03 8.79583973e-03 1.73990452e-03 6.74854498e-04
10010 1.3063400e+05 1.0000000e+00 1.9283865e+04 8.7179392e+08 1.1135013e+05 1.3190761e+05 1.8000000e+02 1.3154494e+05 9.6769219e+03 3.6267188e+02 9.9963196e+01 9.8041818e-03 2.4360532e-03 3.1716508e-04 9.0124030e-03 1.8227280e-03 4.4387550e-04 9.4802678e-03 2.8274390e-03 6.1219913e-04
10012 1.30583000e+05 1.00000000e+00 1.84139473e+04 8.84792000e+08 1.12169055e+05 1.31773062e+05 1.66000000e+02 1.31405812e+05 2.05084688e+04 3.67250000e+02 9.99731293e+01 6.65345788e-03 2.03558314e-03 6.90322078e-04 6.36527920e-03 1.86749024e-03 4.96328168e-04 6.60542119e-03 1.52978941e-03 6.02515938e-04
10013 1.2990800e+05 1.0000000e+00 2.3511688e+04 1.0564933e+09 1.0639631e+05 1.3185930e+05 8.8000000e+01 1.3119033e+05 9.6913641e+04 6.6896875e+02 9.9956741e+01 5.9586987e-03 1.8111140e-03 2.6588547e-03 5.9223082e-03 4.3583484e-03 1.3345497e-02 5.5948077e-03 1.6276502e-03 1.9724004e-03
10016 1.3087300e+05 1.0000000e+00 2.2880369e+04 8.6794483e+08 1.0799263e+05 1.3304122e+05 1.5400000e+02 1.3215186e+05 1.5134545e+05 8.8935938e+02 9.9961327e+01 7.1878135e-03 3.8460374e-03 3.4873895e-03 7.0981686e-03 3.1468153e-03 2.9920978e-03 5.9925811e-03 2.6014941e-03 2.3007265e-03
1001 1.3076600e+05 1.0000000e+00 2.2595148e+04 8.1939123e+08 1.0817085e+05 1.3247627e+05 8.8000000e+01 1.3200033e+05 4.4848273e+04 4.7593750e+02 9.9943008e+01 1.3831108e-02 2.4508189e-03 6.6096598e-04 1.5177697e-02 4.7340593e-03 6.9125299e-04 1.4716860e-02 3.9156252e-03 7.7467138e-04
