Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
0 6.0690455e+06 2.0000000e+00 4.6681334e+05 1.2574114e+12 5.6022320e+06 6.5175325e+05 9.0000000e+01 4.3010488e+05 6.5485691e+09 2.2164838e+05 9.9880066e+01 1.2178119e-02 6.7688483e-03 9.1040535e-03 1.8235678e-02 2.3585614e-02 3.2525238e-02 9.9317245e-03 2.6977579e-03 4.6681161e-03
10002 5.9276395e+06 2.0000000e+00 4.6381825e+05 1.2220376e+12 5.4638210e+06 6.5182519e+05 9.0000000e+01 4.2985219e+05 6.5776573e+09 2.2197300e+05 9.9906906e+01 1.1411525e-02 6.1351066e-03 8.2930615e-03 1.3024562e-02 1.7674178e-02 2.1376751e-02 9.8542888e-03 3.0485361e-03 2.0320378e-03
10004 5.9998440e+06 2.0000000e+00 4.5944341e+05 1.2352983e+12 5.5404005e+06 6.5095400e+05 9.0000000e+01 4.2927366e+05 6.5285601e+09 2.2168034e+05 9.9963577e+01 7.1210843e-03 2.3713207e-03 1.1281192e-03 7.9387864e-03 2.9872518e-03 5.0820950e-03 7.4078082e-03 1.8854731e-03 4.7767538e-04
10005 5.9526000e+06 2.0000000e+00 4.5792269e+05 1.2216486e+12 5.4946775e+06 6.4930725e+05 9.0000000e+01 4.2895262e+05 6.5093427e+09 2.2035462e+05 9.9959671e+01 8.0713117e-03 2.5711714e-03 1.3027978e-03 9.4759390e-03 4.3548928e-03 2.9972389e-03 7.7706953e-03 2.2998196e-03 1.2961481e-03
10006 6.0440125e+06 2.0000000e+00 4.6072006e+05 1.2445649e+12 5.5832925e+06 6.4836425e+05 9.0000000e+01 4.2830081e+05 6.5124326e+09 2.2006344e+05 9.9937737e+01 8.1642093e-03 3.4327006e-03 3.1533043e-03 1.2048934e-02 1.1934223e-02 1.1028134e-02 7.5603900e-03 2.8589435e-03 1.9710411e-03
10007 5.9797085e+06 2.0000000e+00 4.5669025e+05 1.2255117e+12 5.5230180e+06 6.4728794e+05 9.0000000e+01 4.2763116e+05 6.4862597e+09 2.1965678e+05 9.9955582e+01 9.5609184e-03 3.2894758e-03 7.9019344e-04 1.0312678e-02 5.9360373e-03 1.9460920e-03 8.9937467e-03 2.5377078e-03 1.0202617e-03
10008 6.0470770e+06 2.0000000e+00 4.6078725e+05 1.2427315e+12 5.5862900e+06 6.4901881e+05 9.0000000e+01 4.2853012e+05 6.5062298e+09 2.2048869e+05 9.9933487e+01 9.6679404e-03 5.3079012e-03 5.1734187e-03 1.4313133e-02 1.0856918e-02 4.5303907e-03 1.1562301e-02 3.0099733e-03 1.8812794e-03
10011 5.96161250e+06 2.00000000e+00 4.56596812e+05 1.22005946e+12 5.50501550e+06 6.48094625e+05 1.80000000e+02 4.28546719e+05 6.49181491e+09 2.19547906e+05 9.99481964e+01 1.10151209e-02 3.49658588e-03 1.03488460e-03 1.24374535e-02 5.75660635e-03 4.02921997e-03 1.00961914e-02 2.83402088e-03 1.09663617e-03
10014 6.00530750e+06 2.00000000e+00 4.59683562e+05 1.23179749e+12 5.54562400e+06 6.51112125e+05 9.00000000e+01 4.30116344e+05 6.54187469e+09 2.20995781e+05 9.99480362e+01 8.79575964e-03 2.90264469e-03 2.58136448e-03 1.11169405e-02 6.27259864e-03 7.41016120e-03 9.16100480e-03 2.61414843e-03 9.82060796e-04
10015 6.0084480e+06 2.0000000e+00 4.6052956e+05 1.2344335e+12 5.5479185e+06 6.4754756e+05 1.8000000e+02 4.2772434e+05 6.5231212e+09 2.1982322e+05 9.9941071e+01 1.1734709e-02 1.1798330e-02 4.8744981e-03 8.1806835e-03 4.6949559e-03 4.4016042e-03 7.5646881e-03 3.1964837e-03 2.3500749e-03
