Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
0 1.3094600e+05 1.0000000e+00 4.0038746e+04 1.7865668e+09 9.0907250e+04 1.3655600e+05 8.4000000e+01 1.3390186e+05 1.1890214e+06 2.6541406e+03 9.9854103e+01 1.3761516e-02 1.0978975e-02 1.1266723e-02 2.0341292e-02 2.5850523e-02 4.3489207e-02 1.0876900e-02 2.5337199e-03 6.7524272e-03
10002 1.7041883e+05 2.0000000e+00 3.8036914e+04 2.1393004e+09 1.3238191e+05 1.3566814e+05 9.1000000e+01 1.3378491e+05 6.0852681e+05 1.8832344e+03 9.9861557e+01 1.4387588e-02 1.0284949e-02 1.4940696e-02 1.5936883e-02 2.2536287e-02 4.2348698e-02 1.1181739e-02 3.6140324e-03 3.2121823e-03
10004 1.3100700e+05 1.0000000e+00 2.0597809e+04 8.8032640e+08 1.1040919e+05 1.3251777e+05 9.5000000e+01 1.3211148e+05 4.4498391e+04 4.0628125e+02 9.9967857e+01 7.5434446e-03 2.3950713e-03 1.3556730e-03 6.9708573e-03 2.3562987e-03 2.5970310e-03 6.9112140e-03 1.4109485e-03 5.7472085e-04
10005 1.31141000e+05 1.00000000e+00 2.35508711e+04 9.03125056e+08 1.07590125e+05 1.33488516e+05 9.90000000e+01 1.32681594e+05 1.46933719e+05 8.06921875e+02 9.99547577e+01 8.32697097e-03 2.86876969e-03 2.35819654e-03 1.02848550e-02 5.15545020e-03 3.57108889e-03 8.35077278e-03 2.02669739e-03 2.16069003e-03
10006 1.3072500e+05 1.0000000e+00 3.0892035e+04 1.2311126e+09 9.9832969e+04 1.3505070e+05 9.9000000e+01 1.3285547e+05 9.5610456e+05 2.1952344e+03 9.9920700e+01 7.6961867e-03 3.6831012e-03 4.8100334e-03 1.3107309e-02 1.7191483e-02 1.9753102e-02 7.7919578e-03 3.0052252e-03 2.2200479e-03
10007 1.30709000e+05 1.00000000e+00 2.47393789e+04 8.27368064e+08 1.05969625e+05 1.33549828e+05 8.40000000e+01 1.32126734e+05 2.33794750e+05 1.42309375e+03 9.99457016e+01 1.07719013e-02 4.47431533e-03 1.19834172e-03 1.16943894e-02 8.29159003e-03 3.09835747e-03 1.07419454e-02 2.25044880e-03 1.61352637e-03
10008 1.3073800e+05 1.0000000e+00 3.1274352e+04 1.0588432e+09 9.9463648e+04 1.3463767e+05 8.8000000e+01 1.3293506e+05 7.4883012e+05 1.7026094e+03 9.9917542e+01 1.0026648e-02 6.8908972e-03 8.8438494e-03 1.8380675e-02 1.5560590e-02 6.3438891e-03 1.0996090e-02 3.5755981e-03 1.7685432e-03
10011 1.31082000e+05 1.00000000e+00 2.43857324e+04 8.29949760e+08 1.06696266e+05 1.33782047e+05 1.03000000e+02 1.32607891e+05 2.65318562e+05 1.17415625e+03 9.99410324e+01 9.77053493e-03 4.36488679e-03 1.04861404e-03 1.39515139e-02 8.42674635e-03 6.86932914e-03 1.12773497e-02 2.18504458e-03 1.02365843e-03
10014 1.3149300e+05 1.0000000e+00 2.5444975e+04 1.0244628e+09 1.0604802e+05 1.3483773e+05 9.9000000e+01 1.3355680e+05 2.8581391e+05 1.2809375e+03 9.9940720e+01 8.9781992e-03 3.2164897e-03 4.4339178e-03 9.8066330e-03 7.4459575e-03 1.3394727e-02 8.1734266e-03 2.8451679e-03 8.5978099e-04
10015 1.3031100e+05 1.0000000e+00 2.9386070e+04 9.4540634e+08 1.0092493e+05 1.3298084e+05 1.6600000e+02 1.3225091e+05 1.3883678e+05 7.2993750e+02 9.9933723e+01 1.2314672e-02 1.3924622e-02 5.1101376e-03 8.8861464e-03 6.1426475e-03 7.0089106e-03 7.5304029e-03 3.5335985e-03 1.7742383e-03
