Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
10000 5.9953970e+06 2.0000000e+00 4.5428675e+05 1.2302999e+12 5.5411100e+06 6.4449775e+05 9.0000000e+01 4.2593550e+05 6.4453468e+09 2.1856225e+05 9.9971268e+01 6.7969412e-03 3.0309623e-03 7.8205270e-04 6.8777092e-03 2.0246794e-03 4.2599044e-04 6.5519297e-03 1.7938064e-03 4.3137290e-04
10001 6.0267120e+06 2.0000000e+00 4.5629728e+05 1.2439843e+12 5.5704145e+06 6.4765000e+05 1.8000000e+02 4.2799634e+05 6.5207357e+09 2.1965366e+05 9.9968048e+01 8.5029276e-03 1.9464827e-03 5.9732085e-04 7.3540960e-03 2.1390608e-03 4.6005149e-04 7.8418814e-03 2.4629203e-03 5.4901029e-04
10002 6.0208025e+06 2.0000000e+00 4.5598441e+05 1.2429503e+12 5.5648180e+06 6.4821188e+05 9.0000000e+01 4.2802672e+05 6.5325164e+09 2.2018516e+05 9.9973595e+01 6.2302467e-03 2.1529561e-03 1.0338966e-03 5.9904894e-03 1.8399392e-03 5.7336653e-04 6.3527827e-03 1.7800012e-03 4.8229742e-04
10005 6.0327435e+06 2.0000000e+00 4.5926825e+05 1.2432047e+12 5.5734750e+06 6.4839706e+05 9.0000000e+01 4.2849409e+05 6.5105669e+09 2.1990297e+05 9.9946541e+01 1.3832634e-02 3.3499468e-03 8.4814831e-04 1.4424032e-02 2.9683269e-03 6.2170782e-04 1.3275864e-02 3.4991223e-03 5.5177085e-04
10006 6.0070815e+06 2.0000000e+00 4.5589753e+05 1.2358548e+12 5.5511840e+06 6.4661838e+05 9.0000000e+01 4.2738081e+05 6.4900956e+09 2.1923756e+05 9.9965195e+01 8.6057195e-03 2.4569912e-03 4.4057574e-04 9.1566509e-03 2.2550663e-03 4.1667069e-04 8.8624610e-03 1.9896277e-03 4.7433801e-04
1000 6.0491090e+06 2.0000000e+00 4.5801294e+05 1.2514466e+12 5.5910960e+06 6.4984981e+05 9.0000000e+01 4.2937159e+05 6.5591772e+09 2.2047822e+05 9.9966606e+01 8.8514769e-03 2.2767899e-03 6.1356946e-04 8.1997309e-03 2.4655554e-03 5.7284319e-04 7.9692379e-03 1.8356685e-03 5.7035446e-04
10010 5.9964605e+06 2.0000000e+00 4.5584172e+05 1.2321219e+12 5.5406190e+06 6.4628931e+05 1.8000000e+02 4.2704484e+05 6.4801203e+09 2.1924447e+05 9.9964790e+01 8.7125562e-03 2.4450165e-03 5.8287382e-04 9.0393545e-03 2.2943330e-03 3.2605365e-04 9.1840057e-03 2.1496795e-03 3.8967314e-04
10011 6.0201740e+06 2.0000000e+00 4.5908691e+05 1.2433572e+12 5.5610870e+06 6.4791844e+05 9.0000000e+01 4.2768803e+05 6.5002655e+09 2.2023041e+05 9.9961418e+01 6.8596625e-03 3.0263932e-03 4.1717160e-03 6.2631108e-03 3.3460718e-03 5.9057018e-03 5.5033783e-03 1.5744750e-03 1.9669216e-03
10012 5.9671155e+06 2.0000000e+00 4.5506300e+05 1.2178740e+12 5.5120525e+06 6.4326169e+05 9.0000000e+01 4.2484812e+05 6.4063427e+09 2.1841356e+05 9.9942444e+01 1.4366151e-02 3.4119820e-03 1.2524157e-03 1.5488175e-02 3.6213500e-03 4.8948854e-04 1.4824173e-02 3.5732461e-03 4.8389853e-04
10013 5.9930995e+06 2.0000000e+00 4.5442656e+05 1.2323673e+12 5.5386730e+06 6.4563800e+05 1.8000000e+02 4.2642919e+05 6.4800978e+09 2.1920881e+05 9.9971573e+01 6.8041175e-03 1.9081261e-03 7.0132175e-04 7.1880864e-03 1.9195336e-03 4.6906082e-04 7.1343835e-03 1.8678460e-03 3.8901070e-04
10014 6.0089445e+06 2.0000000e+00 4.5608497e+05 1.2368608e+12 5.5528595e+06 6.4729525e+05 1.8000000e+02 4.2766012e+05 6.4985528e+09 2.1963512e+05 9.9967079e+01 7.9146605e-03 2.0384216e-03 5.9029774e-04 8.0374880e-03 2.0037009e-03 4.2307112e-04 8.8706100e-03 2.3488335e-03 5.5592001e-04
