Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
10000 1.2994700e+05 1.0000000e+00 1.9094969e+04 8.6674848e+08 1.1085203e+05 1.3145592e+05 5.0000000e+00 1.3086236e+05 5.2316168e+04 5.9356250e+02 9.9971230e+01 6.9944044e-03 2.8337587e-03 4.5988144e-04 6.9640870e-03 2.2699663e-03 4.8300211e-04 6.3336063e-03 2.0107960e-03 3.9168287e-04
10001 1.3061500e+05 1.0000000e+00 1.8569979e+04 8.8292339e+08 1.1204502e+05 1.3175588e+05 1.7000000e+02 1.3147017e+05 2.0580904e+04 2.8570312e+02 9.9969269e+01 7.8770174e-03 2.4485418e-03 3.7980554e-04 7.1989642e-03 1.9535066e-03 3.9930965e-04 7.9790158e-03 2.0105133e-03 4.5218886e-04
10002 1.3063400e+05 1.0000000e+00 1.7847678e+04 8.9618874e+08 1.1278632e+05 1.3202453e+05 1.7000000e+02 1.3143494e+05 2.9785805e+04 5.8959375e+02 9.9974586e+01 6.1549400e-03 1.8986766e-03 1.0560156e-03 5.7470025e-03 1.4937464e-03 3.0463617e-04 6.8028197e-03 1.3602659e-03 5.2885100e-04
10005 1.30650000e+05 1.00000000e+00 2.22279355e+04 8.23030784e+08 1.08422062e+05 1.32278859e+05 9.00000000e+00 1.31841234e+05 5.08660234e+04 4.37625000e+02 9.99434891e+01 1.42844785e-02 3.95185174e-03 8.26840405e-04 1.56214880e-02 3.16192908e-03 5.78393403e-04 1.39427250e-02 3.70452506e-03 4.29621170e-04
10006 1.3047300e+05 1.0000000e+00 1.9271145e+04 8.6994694e+08 1.1120186e+05 1.3175491e+05 1.0000000e+00 1.3136577e+05 1.6947863e+04 3.8914062e+02 9.9966042e+01 8.2426714e-03 2.4530417e-03 4.2835149e-04 8.7237228e-03 2.3763692e-03 4.8322242e-04 8.7838555e-03 2.0275959e-03 3.9865653e-04
1000 1.3107700e+05 1.0000000e+00 1.9227133e+04 8.7915859e+08 1.1184987e+05 1.3239488e+05 1.5400000e+02 1.3199023e+05 2.7618893e+04 4.0464062e+02 9.9968254e+01 8.5453736e-03 2.0938956e-03 5.5698445e-04 7.7529396e-03 1.7542802e-03 5.2235636e-04 7.8721009e-03 1.9181251e-03 7.1487424e-04
10010 1.3030200e+05 1.0000000e+00 1.9038959e+04 8.7009120e+08 1.1126304e+05 1.3161264e+05 1.7800000e+02 1.3124220e+05 2.8134064e+04 3.7043750e+02 9.9964478e+01 8.7600453e-03 1.9368012e-03 5.3487858e-04 9.9718506e-03 2.2065940e-03 3.3140680e-04 9.0735406e-03 2.0995736e-03 5.5033137e-04
10011 1.3028500e+05 1.0000000e+00 2.3936158e+04 1.0737883e+09 1.0634884e+05 1.3253812e+05 5.9000000e+01 1.3173388e+05 1.4404042e+05 8.0425000e+02 9.9958305e+01 5.9857396e-03 3.2170962e-03 3.8472570e-03 6.7936899e-03 4.1848239e-03 8.3765378e-03 5.8953012e-03 1.5303527e-03 1.8175974e-03
10012 1.2964600e+05 1.0000000e+00 2.1742818e+04 8.1788141e+08 1.0790318e+05 1.3124778e+05 1.6500000e+02 1.3076839e+05 4.0534359e+04 4.7939062e+02 9.9942863e+01 1.4241678e-02 2.7277733e-03 1.0908478e-03 1.5788222e-02 3.3366573e-03 3.4077917e-04 1.5727334e-02 3.4264675e-03 4.1917418e-04
10013 1.30098000e+05 1.00000000e+00 1.81107754e+04 8.85569600e+08 1.11987227e+05 1.31297766e+05 9.00000000e+00 1.30967164e+05 2.37355273e+04 3.30601562e+02 9.99735565e+01 6.08773204e-03 2.21524015e-03 5.79318264e-04 6.43853005e-03 1.74648140e-03 4.37943236e-04 7.03127449e-03 1.51815626e-03 3.21133266e-04
10014 1.3056400e+05 1.0000000e+00 1.8367918e+04 8.8558093e+08 1.1219608e+05 1.3175359e+05 8.0000000e+01 1.3140597e+05 2.0020229e+04 3.4762500e+02 9.9967636e+01 7.8695277e-03 1.4802330e-03 6.9939869e-04 8.1517529e-03 1.7984917e-03 2.0473279e-04 9.0224734e-03 2.5341038e-03 6.0857291e-04
10016 1.3152800e+05 1.0000000e+00 1.9326904e+04 8.8483213e+08 1.1220109e+05 1.3276903e+05 7.6000000e+01 1.3245967e+05 3.2603994e+04 3.0935938e+02 9.9967445e+01 8.5682003e-03 1.8639427e-03 9.4048766e-04 7.8995405e-03 2.0192708e-03 8.5208501e-04 7.6214299e-03 2.3506347e-03 3.0769958e-04
