Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
0 1.3106200e+05 1.0000000e+00 2.4349777e+04 9.0635706e+08 1.0671222e+05 1.3414966e+05 8.8000000e+01 1.3275553e+05 3.1832447e+05 1.3941250e+03 9.9949951e+01 8.5790548e-03 2.4955275e-03 2.2402904e-03 9.4131287e-03 1.0109440e-02 5.6704194e-03 7.9832859e-03 2.1678542e-03 1.2635962e-03
10003 1.32201000e+05 1.00000000e+00 2.25722305e+04 8.59698048e+08 1.09628766e+05 1.34152609e+05 8.80000000e+01 1.33480219e+05 1.05446656e+05 6.72390625e+02 9.99496765e+01 1.21088196e-02 2.65316293e-03 1.11696089e-03 1.32917268e-02 3.62964300e-03 1.82516652e-03 1.12245474e-02 2.11878889e-03 2.29583657e-03
10004 1.31450000e+05 1.00000000e+00 2.93122305e+04 1.27652416e+09 1.02137766e+05 1.35750938e+05 9.90000000e+01 1.33782188e+05 7.19708000e+05 1.96875000e+03 9.99385300e+01 8.44978075e-03 3.98442475e-03 4.14795149e-03 1.01249302e-02 1.16809625e-02 1.03339544e-02 7.70394411e-03 2.43948842e-03 2.47351662e-03
10007 1.3347600e+05 1.0000000e+00 2.2848434e+04 1.1613823e+09 1.1062756e+05 1.3743039e+05 8.4000000e+01 1.3580483e+05 8.0848625e+05 1.6255625e+03 9.9944962e+01 4.3800152e-03 3.3015215e-03 5.4979934e-03 4.9540685e-03 6.8491744e-03 2.4067886e-02 3.8576291e-03 1.0899821e-03 9.7876193e-04
10008 1.3144800e+05 1.0000000e+00 2.4536031e+04 9.1903488e+08 1.0691197e+05 1.3429830e+05 9.9000000e+01 1.3308653e+05 1.9650311e+05 1.2117656e+03 9.9946617e+01 9.1182766e-03 3.2146440e-03 2.4198727e-03 9.9652447e-03 5.4357303e-03 1.0172931e-02 8.7036714e-03 2.5009378e-03 1.8534921e-03
10009 1.30990000e+05 1.00000000e+00 2.42281934e+04 8.68348160e+08 1.06761805e+05 1.34128094e+05 7.60000000e+01 1.32541984e+05 3.11872562e+05 1.58610938e+03 9.99501266e+01 8.74671806e-03 3.69492173e-03 1.35094335e-03 1.24863582e-02 6.92014024e-03 3.03957611e-03 9.91572533e-03 2.14865897e-03 1.52538670e-03
10015 1.3122600e+05 1.0000000e+00 3.0569814e+04 1.4261312e+09 1.0065619e+05 1.3502166e+05 9.9000000e+01 1.3371336e+05 3.9141791e+05 1.3082969e+03 9.9922195e+01 9.5475381e-03 5.3506317e-03 8.7117767e-03 1.0153354e-02 1.2105190e-02 1.8111551e-02 9.2327520e-03 2.1136741e-03 2.5162497e-03
10018 1.3061100e+05 1.0000000e+00 2.9993428e+04 1.0321066e+09 1.0061757e+05 1.3396489e+05 8.4000000e+01 1.3254289e+05 4.4747750e+05 1.4220000e+03 9.9925781e+01 1.0670674e-02 4.9908715e-03 2.1834921e-03 1.2613792e-02 1.1337498e-02 1.7254304e-02 8.9014713e-03 2.8198506e-03 3.4324233e-03
10025 1.3064500e+05 1.0000000e+00 2.9913959e+04 1.3009417e+09 1.0073104e+05 1.3517288e+05 8.8000000e+01 1.3302739e+05 7.4659538e+05 2.1454844e+03 9.9929810e+01 8.7173721e-03 4.6661710e-03 4.4245226e-03 1.1917286e-02 1.4544572e-02 1.2595075e-02 8.2379831e-03 3.6309874e-03 1.4260757e-03
10027 1.30815000e+05 1.00000000e+00 3.01053789e+04 1.47653235e+09 1.00709625e+05 1.35292297e+05 8.80000000e+01 1.33242516e+05 8.74468188e+05 2.04978125e+03 9.99209061e+01 8.50305706e-03 4.37891250e-03 4.54074424e-03 1.20351659e-02 1.20348027e-02 2.56347973e-02 7.68427737e-03 2.10634433e-03 2.10606540e-03
10029 1.6260448e+05 2.0000000e+00 4.5999066e+04 2.7783828e+09 1.1660542e+05 1.3802977e+05 8.4000000e+01 1.3413459e+05 3.6832415e+06 3.8951719e+03 9.9678444e+01 1.2878883e-02 1.2587681e-02 6.1696386e-03 2.6408218e-02 5.6079533e-02 1.6505033e-01 1.0905109e-02 5.0125695e-03 2.6450917e-02
10030 1.3002700e+05 1.0000000e+00 3.4631855e+04 1.5341581e+09 9.5395141e+04 1.3421111e+05 9.9000000e+01 1.3249348e+05 5.8393700e+05 1.7176250e+03 9.9891754e+01 1.1529393e-02 5.2192234e-03 5.5268300e-03 1.5333715e-02 1.8664382e-02 3.1492542e-02 8.9226151e-03 3.1114274e-03 8.4008649e-03
10031 1.31070000e+05 1.00000000e+00 2.94430195e+04 1.43548365e+09 1.01626984e+05 1.35473422e+05 8.80000000e+01 1.33493734e+05 7.61606250e+05 1.97968750e+03 9.99291458e+01 9.31956619e-03 3.54432547e-03 6.20107073e-03 1.21234702e-02 1.49058038e-02 1.20659955e-02 8.94451980e-03 2.02926039e-03 1.76192122e-03
10032 1.3081700e+05 1.0000000e+00 3.1003021e+04 1.2302860e+09 9.9813977e+04 1.3478906e+05 8.0000000e+01 1.3305678e+05 6.8024362e+05 1.7322812e+03 9.9918510e+01 1.0533013e-02 4.2171692e-03 9.2560481e-03 1.3168876e-02 1.7522017e-02 1.1795948e-02 9.3017416e-03 2.7632562e-03 2.8927829e-03
10033 1.31075000e+05 1.00000000e+00 2.44523320e+04 9.13483456e+08 1.06622672e+05 1.33298219e+05 9.90000000e+01 1.32659703e+05 1.07871625e+05 6.38515625e+02 9.99542465e+01 8.42159241e-03 3.94014083e-03 2.41805427e-03 8.66582245e-03 5.40404720e-03 3.67124239e-03 8.89218505e-03 2.83214403e-03 1.44930743e-03
10038 1.3083700e+05 1.0000000e+00 2.6760715e+04 1.0389801e+09 1.0407628e+05 1.3442406e+05 9.9000000e+01 1.3277562e+05 4.9514812e+05 1.6484375e+03 9.9949692e+01 9.3076201e-03 2.7333354e-03 2.7227909e-03 9.6423281e-03 6.4495155e-03 7.7284900e-03 7.9030329e-03 1.9727703e-03 1.8426741e-03
10039 1.3126100e+05 1.0000000e+00 2.5814080e+04 8.9239373e+08 1.0544692e+05 1.3423169e+05 9.9000000e+01 1.3283159e+05 2.9805725e+05 1.4000938e+03 9.9948669e+01 8.1241382e-03 3.6756154e-03 3.1136540e-03 1.0725758e-02 1.1183499e-02 3.2580742e-03 7.7083497e-03 2.5767516e-03 8.4465888e-04
1003 1.3141400e+05 1.0000000e+00 3.1313432e+04 1.4776559e+09 1.0010057e+05 1.3631306e+05 8.8000000e+01 1.3389620e+05 1.0723025e+06 2.4168594e+03 9.9921700e+01 9.5541365e-03 2.7075508e-03 4.1640396e-03 1.2988531e-02 1.9704830e-02 1.4842460e-02 9.1337170e-03 2.7445576e-03 2.3513585e-03
10040 1.3121800e+05 1.0000000e+00 3.1175352e+04 1.2215727e+09 1.0004265e+05 1.3577359e+05 8.0000000e+01 1.3353391e+05 6.8691406e+05 2.2396875e+03 9.9912910e+01 1.0089474e-02 5.9580565e-03 4.7161840e-03 1.4324852e-02 9.5489193e-03 2.4493786e-02 1.0713195e-02 2.6953749e-03 4.5086397e-03
10041 1.3534992e+05 2.0000000e+00 3.2760414e+04 1.7764038e+09 1.0258951e+05 1.4016945e+05 9.9000000e+01 1.3723022e+05 2.0828144e+06 2.9392344e+03 9.9882851e+01 6.1835707e-03 7.2222361e-03 1.5292112e-02 1.0030885e-02 1.9085713e-02 4.8221555e-02 5.7225847e-03 1.8923526e-03 3.4158279e-03
10042 1.31780000e+05 1.00000000e+00 3.84033906e+04 1.40329664e+09 9.33766094e+04 1.38521062e+05 8.80000000e+01 1.34890016e+05 1.99332800e+06 3.63104688e+03 9.98496552e+01 9.76880919e-03 1.12157380e-02 1.21848695e-02 1.96906198e-02 3.17788012e-02 4.35053930e-02 7.47372629e-03 4.08627652e-03 1.05691254e-02
10043 1.3030100e+05 1.0000000e+00 2.3683145e+04 8.5746790e+08 1.0661786e+05 1.3247023e+05 9.5000000e+01 1.3178005e+05 1.6372333e+05 6.9018750e+02 9.9955826e+01 9.6826525e-03 4.7075814e-03 2.9120524e-03 9.1340905e-03 3.4205781e-03 4.2431462e-03 7.2714048e-03 1.8638170e-03 8.8622485e-04
10044 1.32393000e+05 1.00000000e+00 2.69261270e+04 1.31413427e+09 1.05466875e+05 1.36876562e+05 8.40000000e+01 1.34878750e+05 7.56984688e+05 1.99781250e+03 9.99522400e+01 5.58272423e-03 4.57142806e-03 7.56362872e-03 7.05317082e-03 9.41892900e-03 4.79855062e-03 5.25596179e-03 1.71953382e-03 1.77596521e-03
1004 1.31319000e+05 1.00000000e+00 3.02711621e+04 1.45389747e+09 1.01047836e+05 1.35673344e+05 9.10000000e+01 1.33702266e+05 5.76579000e+05 1.97107812e+03 9.99322662e+01 8.35548062e-03 4.02613776e-03 6.09655539e-03 1.12913884e-02 1.23207970e-02 1.40680186e-02 6.71848748e-03 2.89476407e-03 1.94438931e-03
10052 1.30913000e+05 1.00000000e+00 3.24875586e+04 1.38550746e+09 9.84254375e+04 1.35414984e+05 9.50000000e+01 1.33388969e+05 8.09672062e+05 2.02601562e+03 9.99089050e+01 1.04675405e-02 5.10808546e-03 6.64897682e-03 1.62077490e-02 2.04327442e-02 1.70810912e-02 9.08916816e-03 3.48358671e-03 2.53996812e-03
10053 1.3109800e+05 1.0000000e+00 2.9689318e+04 1.2984709e+09 1.0140868e+05 1.3559645e+05 9.5000000e+01 1.3352461e+05 7.1067269e+05 2.0718438e+03 9.9923447e+01 9.5629748e-03 3.9885403e-03 6.7837546e-03 1.1181594e-02 1.1926937e-02 1.7984305e-02 9.4737085e-03 3.1003810e-03 2.5638777e-03
